COMPANY_ID,A_NO,FILE_URL,
"92011","A77339928","http://www.canpages.ca/printad/LNG11/A77339928.swf",
"92011","A77339929","http://www.canpages.ca/printad/LNG11/A77339929.swf",
"92271","A77382662","http://www.canpages.ca/printad/WSL12/A77382662.swf",
"96916","A77281255","http://www.canpages.ca/printad/MTL10/A77281255.swf",
"98770","A77419365","http://www.canpages.ca/printad/WIN12/A77419365.swf",
"98968","A77383624","http://www.canpages.ca/printad/CCR11/A77383624.swf",
"99206","A77390584","http://www.canpages.ca/printad/NBS11/A77390584.swf",
"99903","A77386190","http://www.canpages.ca/printad/SSM11/A77386190.swf",
"99962","A77418978","http://www.canpages.ca/printad/WIN12/A77418978.swf",
"100164","A77367726","http://www.canpages.ca/printad/EDM11/A77367726.swf",
"100305","A77018402","http://www.canpages.ca/printad/SCR09/A77018402.swf",
"100305","A77018403","http://www.canpages.ca/printad/SCR09/A77018403.swf",
"100305","A77018404","http://www.canpages.ca/printad/TOR09/A77018404.swf",
"100305","A77018405","http://www.canpages.ca/printad/TOR09/A77018405.swf",
"100418","A77222644","http://www.canpages.ca/printad/SUR11/A77222644.swf",
"100418","A77266929","http://www.canpages.ca/printad/VAN11/A77266929.swf",
"100627","A77300949","http://www.canpages.ca/printad/GUE11/A77300949.swf",
"110568","A77375073","http://www.canpages.ca/printad/TKP12/A77375073.swf",
"110568","A77375074","http://www.canpages.ca/printad/TKP12/A77375074.swf",
"110645","A77333972","http://www.canpages.ca/printad/SSC11/A77333972.swf",
"110645","A77333973","http://www.canpages.ca/printad/SSC11/A77333973.swf",
"110645","A77333974","http://www.canpages.ca/printad/SSC11/A77333974.swf",
"110715","A77267796","http://www.canpages.ca/printad/VAN11/A77267796.swf",
"110745","A77303204","http://www.canpages.ca/printad/VIC11/A77303204.swf",
"110822","A77336454","http://www.canpages.ca/printad/GRP11/A77336454.swf",
"110850","A77238884","http://www.canpages.ca/printad/CGY11/A77238884.swf",
"111041","A77281259","http://www.canpages.ca/printad/MTL10/A77281259.swf",
"111041","A77281260","http://www.canpages.ca/printad/MTL10/A77281260.swf",
"111201","A77300472","http://www.canpages.ca/printad/VIC11/A77300472.swf",
"111201","A77300473","http://www.canpages.ca/printad/VIC11/A77300473.swf",
"111919","A77364666","http://www.canpages.ca/printad/NMK11/A77364666.swf",
"112415","A77262784","http://www.canpages.ca/printad/VAN11/A77262784.swf",
"112415","A77262785","http://www.canpages.ca/printad/VAN11/A77262785.swf",
"112415","A77262786","http://www.canpages.ca/printad/VAN11/A77262786.swf",
"112608","A77362703","http://www.canpages.ca/printad/EDM11/A77362703.swf",
"112611","A77303102","http://www.canpages.ca/printad/NMO11/A77303102.swf",
"112611","A77304891","http://www.canpages.ca/printad/VIC11/A77304891.swf",
"112611","A77311502","http://www.canpages.ca/printad/CCR11/A77311502.swf",
"112743","A77363275","http://www.canpages.ca/printad/LON12/A77363275.swf",
"112743","A77363276","http://www.canpages.ca/printad/LON12/A77363276.swf",
"113143","A77280389","http://www.canpages.ca/printad/VAN11/A77280389.swf",
"1124831","A77281883","http://www.canpages.ca/printad/MTL10/A77281883.swf",
"1126773","A77270986","http://www.canpages.ca/printad/MTL10/A77270986.swf",
"1126773","A77270987","http://www.canpages.ca/printad/MTL10/A77270987.swf",
"1130615","A77264693","http://www.canpages.ca/printad/MTL10/A77264693.swf",
"1130615","A77264694","http://www.canpages.ca/printad/MTL10/A77264694.swf",
"1130615","A77264695","http://www.canpages.ca/printad/MTL10/A77264695.swf",
"1131029","A77281789","http://www.canpages.ca/printad/MTL10/A77281789.swf",
"1131029","A77281790","http://www.canpages.ca/printad/MTL10/A77281790.swf",
"1132443","A77273975","http://www.canpages.ca/printad/MTL10/A77273975.swf",
"1132443","A77273976","http://www.canpages.ca/printad/MTL10/A77273976.swf",
"1132911","A77268830","http://www.canpages.ca/printad/MTL10/A77268830.swf",
"1132911","A77268831","http://www.canpages.ca/printad/MTL10/A77268831.swf",
"1132911","A77268972","http://www.canpages.ca/printad/MTL10/A77268972.swf",
"1132911","A77268973","http://www.canpages.ca/printad/MTL10/A77268973.swf",
"1134785","A77271584","http://www.canpages.ca/printad/MTL10/A77271584.swf",
"1134785","A77271585","http://www.canpages.ca/printad/MTL10/A77271585.swf",
"1135620","A77281657","http://www.canpages.ca/printad/MTL10/A77281657.swf",
"1135620","A77281658","http://www.canpages.ca/printad/MTL10/A77281658.swf",
"1137222","A77282033","http://www.canpages.ca/printad/MTL10/A77282033.swf",
"1137647","A77272303","http://www.canpages.ca/printad/MTL10/A77272303.swf",
"1137647","A77272304","http://www.canpages.ca/printad/MTL10/A77272304.swf",
"1138329","A77197388","http://www.canpages.ca/printad/NSH10/A77197388.swf",
"1138329","A77281564","http://www.canpages.ca/printad/MTL10/A77281564.swf",
"1138329","A77281565","http://www.canpages.ca/printad/MTL10/A77281565.swf",
"1139299","A77272384","http://www.canpages.ca/printad/MTL10/A77272384.swf",
"1139299","A77272385","http://www.canpages.ca/printad/MTL10/A77272385.swf",
"1139299","A77272386","http://www.canpages.ca/printad/MTL10/A77272386.swf",
"1139299","A77272387","http://www.canpages.ca/printad/MTL10/A77272387.swf",
"1139299","A77272388","http://www.canpages.ca/printad/MTL10/A77272388.swf",
"1139299","A77272389","http://www.canpages.ca/printad/MTL10/A77272389.swf",
"1139299","A77272390","http://www.canpages.ca/printad/MTL10/A77272390.swf",
"1139299","A77272391","http://www.canpages.ca/printad/MTL10/A77272391.swf",
"1140881","A77281261","http://www.canpages.ca/printad/MTL10/A77281261.swf",
"1140881","A77281382","http://www.canpages.ca/printad/MTL10/A77281382.swf",
"1140917","A77262374","http://www.canpages.ca/printad/MTL10/A77262374.swf",
"1140917","A77262375","http://www.canpages.ca/printad/MTL10/A77262375.swf",
"1142267","A77281058","http://www.canpages.ca/printad/MTL10/A77281058.swf",
"1142267","A77281059","http://www.canpages.ca/printad/MTL10/A77281059.swf",
"1142790","A77281622","http://www.canpages.ca/printad/MTL10/A77281622.swf",
"1142790","A77281623","http://www.canpages.ca/printad/MTL10/A77281623.swf",
"1145666","A77264458","http://www.canpages.ca/printad/MTL10/A77264458.swf",
"1145666","A77264459","http://www.canpages.ca/printad/MTL10/A77264459.swf",
"1145666","A77264460","http://www.canpages.ca/printad/MTL10/A77264460.swf",
"1145666","A77264461","http://www.canpages.ca/printad/MTL10/A77264461.swf",
"1145704","A77277974","http://www.canpages.ca/printad/MTL10/A77277974.L.swf",
"1145704","A77277974","http://www.canpages.ca/printad/MTL10/A77277974.R.swf",
"1146721","A77263109","http://www.canpages.ca/printad/MTL10/A77263109.swf",
"1146721","A77263110","http://www.canpages.ca/printad/MTL10/A77263110.swf",
"1151840","A77269664","http://www.canpages.ca/printad/MTL10/A77269664.swf",
"1151840","A77269665","http://www.canpages.ca/printad/MTL10/A77269665.swf",
"1153753","A77281325","http://www.canpages.ca/printad/MTL10/A77281325.swf",
"1153753","A77281326","http://www.canpages.ca/printad/MTL10/A77281326.swf",
"1153956","A77280844","http://www.canpages.ca/printad/MTL10/A77280844.swf",
"1153956","A77280845","http://www.canpages.ca/printad/MTL10/A77280845.swf",
"1153956","A77280846","http://www.canpages.ca/printad/MTL10/A77280846.swf",
"1153956","A77280847","http://www.canpages.ca/printad/MTL10/A77280847.swf",
"1153982","A77281857","http://www.canpages.ca/printad/MTL10/A77281857.swf",
"1153982","A77281858","http://www.canpages.ca/printad/MTL10/A77281858.swf",
"1153982","A77281859","http://www.canpages.ca/printad/MTL10/A77281859.swf",
"1153982","A77281860","http://www.canpages.ca/printad/MTL10/A77281860.swf",
"1155036","A77272302","http://www.canpages.ca/printad/MTL10/A77272302.swf",
"1155155","A77264617","http://www.canpages.ca/printad/MTL10/A77264617.swf",
"1155155","A77264618","http://www.canpages.ca/printad/MTL10/A77264618.swf",
"1156525","A77281364","http://www.canpages.ca/printad/MTL10/A77281364.swf",
"1156525","A77281365","http://www.canpages.ca/printad/MTL10/A77281365.swf",
"1156615","A77281324","http://www.canpages.ca/printad/MTL10/A77281324.swf",
"1158153","A77273654","http://www.canpages.ca/printad/MTL10/A77273654.swf",
"1158153","A77273655","http://www.canpages.ca/printad/MTL10/A77273655.swf",
"1162165","A77176816","http://www.canpages.ca/printad/NSH10/A77176816.swf",
"1162165","A77176817","http://www.canpages.ca/printad/NSH10/A77176817.swf",
"1163114","A77197572","http://www.canpages.ca/printad/NSH10/A77197572.swf",
"1163114","A77261919","http://www.canpages.ca/printad/MTL10/A77261919.swf",
"1164624","A77142000","http://www.canpages.ca/printad/NSH10/A77142000.swf",
"1164743","A77131612","http://www.canpages.ca/printad/NSH10/A77131612.swf",
"1164743","A77131613","http://www.canpages.ca/printad/SSH10/A77131613.swf",
"1164743","A77131614","http://www.canpages.ca/printad/MTL10/A77131614.swf",
"1166053","A77159655","http://www.canpages.ca/printad/NSH10/A77159655.swf",
"1166053","A77159656","http://www.canpages.ca/printad/NSH10/A77159656.swf",
"1166739","A77173156","http://www.canpages.ca/printad/NSH10/A77173156.swf",
"1172084","A77264539","http://www.canpages.ca/printad/MTL10/A77264539.swf",
"1172084","A77264540","http://www.canpages.ca/printad/MTL10/A77264540.swf",
"1172387","A77281912","http://www.canpages.ca/printad/MTL10/A77281912.swf",
"1172387","A77281913","http://www.canpages.ca/printad/MTL10/A77281913.swf",
"1173695","A77252994","http://www.canpages.ca/printad/NSH10/A77252994.swf",
"1173695","A77264532","http://www.canpages.ca/printad/MTL10/A77264532.swf",
"1173695","A77264533","http://www.canpages.ca/printad/MTL10/A77264533.swf",
"1173708","A77270119","http://www.canpages.ca/printad/MTL10/A77270119.swf",
"1173708","A77270120","http://www.canpages.ca/printad/MTL10/A77270120.swf",
"1173708","A77270121","http://www.canpages.ca/printad/MTL10/A77270121.swf",
"1173708","A77270272","http://www.canpages.ca/printad/MTL10/A77270272.swf",
"1173708","A77270273","http://www.canpages.ca/printad/MTL10/A77270273.swf",
"1173708","A77270274","http://www.canpages.ca/printad/MTL10/A77270274.swf",
"1174376","A77281602","http://www.canpages.ca/printad/MTL10/A77281602.swf",
"1174376","A77281603","http://www.canpages.ca/printad/MTL10/A77281603.swf",
"1174376","A77281604","http://www.canpages.ca/printad/MTL10/A77281604.swf",
"1177080","A77278222","http://www.canpages.ca/printad/MTL10/A77278222.1.swf",
"1177080","A77278222","http://www.canpages.ca/printad/MTL10/A77278222.2.swf",
"1177080","A77278222","http://www.canpages.ca/printad/MTL10/A77278222.3.swf",
"1177080","A77278222","http://www.canpages.ca/printad/MTL10/A77278222.4.swf",
"1177080","A77278223","http://www.canpages.ca/printad/MTL10/A77278223.L.swf",
"1177080","A77278223","http://www.canpages.ca/printad/MTL10/A77278223.R.swf",
"1177080","A77278224","http://www.canpages.ca/printad/MTL10/A77278224.L.swf",
"1177080","A77278224","http://www.canpages.ca/printad/MTL10/A77278224.R.swf",
"1188608","A77155830","http://www.canpages.ca/printad/SSH10/A77155830.swf",
"1188608","A77155831","http://www.canpages.ca/printad/SSH10/A77155831.swf",
"1188977","A77159602","http://www.canpages.ca/printad/SSH10/A77159602.swf",
"1191276","A77168792","http://www.canpages.ca/printad/NSH10/A77168792.swf",
"1191276","A77168793","http://www.canpages.ca/printad/NSH10/A77168793.swf",
"1191276","A77168794","http://www.canpages.ca/printad/NSH10/A77168794.swf",
"1191276","A77168795","http://www.canpages.ca/printad/NSH10/A77168795.swf",
"1191293","A77168696","http://www.canpages.ca/printad/NSH10/A77168696.swf",
"1191326","A77122794","http://www.canpages.ca/printad/NSH10/A77122794.swf",
"1191500","A77176187","http://www.canpages.ca/printad/NSH10/A77176187.swf",
"1193305","A77125852","http://www.canpages.ca/printad/NSH10/A77125852.swf",
"1193305","A77125854","http://www.canpages.ca/printad/MTL10/A77125854.swf",
"1193305","A77125855","http://www.canpages.ca/printad/MTL10/A77125855.swf",
"1207180","A77124690","http://www.canpages.ca/printad/SSH10/A77124690.swf",
"1213880","A77160576","http://www.canpages.ca/printad/SSH10/A77160576.swf",
"1213880","A77160577","http://www.canpages.ca/printad/SSH10/A77160577.swf",
"1217725","A77126148","http://www.canpages.ca/printad/SSH10/A77126148.swf",
"1217735","A77149362","http://www.canpages.ca/printad/SSH10/A77149362.swf",
"1217735","A77149363","http://www.canpages.ca/printad/SSH10/A77149363.swf",
"1217735","A77149364","http://www.canpages.ca/printad/MTL10/A77149364.swf",
"1217782","A77144666","http://www.canpages.ca/printad/SSH10/A77144666.swf",
"1217820","A77186332","http://www.canpages.ca/printad/SSH10/A77186332.swf",
"1217820","A77186333","http://www.canpages.ca/printad/SSH10/A77186333.swf",
"1218392","A77146414","http://www.canpages.ca/printad/SSH10/A77146414.swf",
"1220407","A77136684","http://www.canpages.ca/printad/MTL10/A77136684.swf",
"1220407","A77136685","http://www.canpages.ca/printad/NSH10/A77136685.swf",
"1221361","A77170934","http://www.canpages.ca/printad/SSH10/A77170934.swf",
"1221415","A77161500","http://www.canpages.ca/printad/SSH10/A77161500.swf",
"1221440","A77140493","http://www.canpages.ca/printad/SSH10/A77140493.swf",
"1221440","A77140494","http://www.canpages.ca/printad/SSH10/A77140494.swf",
"1221440","A77142362","http://www.canpages.ca/printad/SSH10/A77142362.swf",
"1221532","A77172998","http://www.canpages.ca/printad/SSH10/A77172998.swf",
"1221532","A77172999","http://www.canpages.ca/printad/SSH10/A77172999.swf",
"1221773","A77200118","http://www.canpages.ca/printad/SSH10/A77200118.swf",
"1222747","A77160398","http://www.canpages.ca/printad/SSH10/A77160398.swf",
"1222747","A77160400","http://www.canpages.ca/printad/SSH10/A77160400.swf",
"1222750","A77170519","http://www.canpages.ca/printad/SSH10/A77170519.swf",
"1222945","A77149618","http://www.canpages.ca/printad/SSH10/A77149618.swf",
"1223048","A77132167","http://www.canpages.ca/printad/SSH10/A77132167.swf",
"1223169","A77127905","http://www.canpages.ca/printad/SSH10/A77127905.swf",
"1223593","A77160575","http://www.canpages.ca/printad/SSH10/A77160575.swf",
"1224367","A77176671","http://www.canpages.ca/printad/SSH10/A77176671.swf",
"1225106","A77168733","http://www.canpages.ca/printad/SSH10/A77168733.swf",
"1225276","A77197287","http://www.canpages.ca/printad/SSH10/A77197287.swf",
"1225326","A77133140","http://www.canpages.ca/printad/SSH10/A77133140.swf",
"1225326","A77133141","http://www.canpages.ca/printad/SSH10/A77133141.swf",
"1225326","A77133242","http://www.canpages.ca/printad/MTL10/A77133242.swf",
"1225711","A77148062","http://www.canpages.ca/printad/SSH10/A77148062.swf",
"1225939","A77159657","http://www.canpages.ca/printad/SSH10/A77159657.swf",
"1225939","A77159658","http://www.canpages.ca/printad/SSH10/A77159658.swf",
"1226446","A77147391","http://www.canpages.ca/printad/SSH10/A77147391.L.swf",
"1226446","A77147391","http://www.canpages.ca/printad/SSH10/A77147391.R.swf",
"1226446","A77147482","http://www.canpages.ca/printad/MTL10/A77147482.swf",
"1227235","A77161777","http://www.canpages.ca/printad/SSH10/A77161777.swf",
